Product Type,Product Returned,Product ID
Phone,no,65046f7afc13ae03cdfd5a5a
Laptop,no,65046f7afc13ae03cdfd5a5b
Tablet,no,65046f7afc13ae03cdfd5a5c
Phone,no,65046f7afc13ae03cdfd5a5d
Laptop,yes,65046f7afc13ae03cdfd5a5e
Tablet,no,65046f7afc13ae03cdfd5a5f
Phone,no,65046f7afc13ae03cdfd5a60
Laptop,no,65046f7afc13ae03cdfd5a61
Tablet,no,65046f7afc13ae03cdfd5a62
Phone,no,65046f7afc13ae03cdfd5a63
Laptop,no,65046f7afc13ae03cdfd5a64
Tablet,no,65046f7afc13ae03cdfd5a65
Phone,no,65046f7afc13ae03cdfd5a66
Laptop,no,65046f7afc13ae03cdfd5a67
Tablet,no,65046f7afc13ae03cdfd5a68
Phone,no,65046f7afc13ae03cdfd5a69
Laptop,no,65046f7afc13ae03cdfd5a6a
Tablet,no,65046f7afc13ae03cdfd5a6b
Phone,no,65046f7afc13ae03cdfd5a6c
Laptop,no,65046f7afc13ae03cdfd5a6d
Tablet,no,65046f7afc13ae03cdfd5a6e
Phone,no,65046f7afc13ae03cdfd5a6f
Laptop,no,65046f7afc13ae03cdfd5a70
Tablet,no,65046f7afc13ae03cdfd5a71
Phone,no,65046f7afc13ae03cdfd5a72
Laptop,no,65046f7afc13ae03cdfd5a73
Tablet,no,65046f7afc13ae03cdfd5a74
Phone,no,65046f7afc13ae03cdfd5a75
Laptop,no,65046f7afc13ae03cdfd5a76
Tablet,no,65046f7afc13ae03cdfd5a77
Phone,no,65046f7afc13ae03cdfd5a78
Laptop,no,65046f7afc13ae03cdfd5a79
Tablet,no,65046f7afc13ae03cdfd5a7a
Phone,no,65046f7afc13ae03cdfd5a7b
Laptop,no,65046f7afc13ae03cdfd5a7c
Tablet,no,65046f7afc13ae03cdfd5a7d
Phone,no,65046f7afc13ae03cdfd5a7e
Laptop,no,65046f7afc13ae03cdfd5a7f
Tablet,no,65046f7afc13ae03cdfd5a80
Phone,no,65046f7afc13ae03cdfd5a81
Laptop,no,65046f7afc13ae03cdfd5a82
Tablet,no,65046f7afc13ae03cdfd5a83
Phone,no,65046f7afc13ae03cdfd5a84
Laptop,no,65046f7afc13ae03cdfd5a85
Tablet,no,65046f7afc13ae03cdfd5a86
Phone,no,65046f7afc13ae03cdfd5a87
Laptop,yes,65046f7afc13ae03cdfd5a88
Tablet,no,65046f7afc13ae03cdfd5a89
Phone,no,65046f7afc13ae03cdfd5a8a
Laptop,no,65046f7afc13ae03cdfd5a8b
Tablet,yes,65046f7afc13ae03cdfd5a8c
Phone,no,65046f7afc13ae03cdfd5a8d
Laptop,no,65046f7afc13ae03cdfd5a8e
Tablet,no,65046f7afc13ae03cdfd5a8f
Phone,no,65046f7afc13ae03cdfd5a90
Laptop,no,65046f7afc13ae03cdfd5a91
Tablet,no,65046f7afc13ae03cdfd5a92
Phone,no,65046f7afc13ae03cdfd5a93
Laptop,no,65046f7afc13ae03cdfd5a94
Tablet,no,65046f7afc13ae03cdfd5a95
Phone,no,65046f7afc13ae03cdfd5a96
Laptop,no,65046f7afc13ae03cdfd5a97
Tablet,no,65046f7afc13ae03cdfd5a98
Phone,no,65046f7afc13ae03cdfd5a99
Laptop,no,65046f7afc13ae03cdfd5a9a
Tablet,no,65046f7afc13ae03cdfd5a9b
Phone,no,65046f7afc13ae03cdfd5a9c
Laptop,no,65046f7afc13ae03cdfd5a9d
Tablet,no,65046f7afc13ae03cdfd5a9e
Phone,no,65046f7afc13ae03cdfd5a9f
Laptop,no,65046f7afc13ae03cdfd5aa0
Tablet,no,65046f7afc13ae03cdfd5aa1
Phone,no,65046f7afc13ae03cdfd5aa2
Laptop,no,65046f7afc13ae03cdfd5aa3
Tablet,no,65046f7afc13ae03cdfd5aa4
Phone,no,65046f7afc13ae03cdfd5aa5
Laptop,no,65046f7afc13ae03cdfd5aa6
Tablet,no,65046f7afc13ae03cdfd5aa7
Phone,no,65046f7afc13ae03cdfd5aa8
Laptop,no,65046f7afc13ae03cdfd5aa9
Tablet,yes,65046f7afc13ae03cdfd5aaa
Phone,no,65046f7afc13ae03cdfd5aab
Laptop,no,65046f7afc13ae03cdfd5aac
Tablet,no,65046f7afc13ae03cdfd5aad
Phone,no,65046f7afc13ae03cdfd5aae
Laptop,no,65046f7afc13ae03cdfd5aaf
Tablet,no,65046f7afc13ae03cdfd5ab0
Phone,no,65046f7afc13ae03cdfd5ab1
Laptop,no,65046f7afc13ae03cdfd5ab2
Tablet,no,65046f7afc13ae03cdfd5ab3
Phone,no,65046f7afc13ae03cdfd5ab4
Laptop,no,65046f7afc13ae03cdfd5ab5
Tablet,no,65046f7afc13ae03cdfd5ab6
Phone,no,65046f7afc13ae03cdfd5ab7
Laptop,no,65046f7afc13ae03cdfd5ab8
Tablet,no,65046f7afc13ae03cdfd5ab9
Phone,yes,65046f7afc13ae03cdfd5aba
Laptop,no,65046f7afc13ae03cdfd5abb
Tablet,no,65046f7afc13ae03cdfd5abc
Phone,no,65046f7afc13ae03cdfd5abd
Laptop,no,65046f7afc13ae03cdfd5abe
Tablet,no,65046f7afc13ae03cdfd5abf
Phone,no,65046f7afc13ae03cdfd5ac0
Laptop,no,65046f7afc13ae03cdfd5ac1
Tablet,no,65046f7afc13ae03cdfd5ac2
Phone,no,65046f7afc13ae03cdfd5ac3
Laptop,no,65046f7afc13ae03cdfd5ac4
Tablet,no,65046f7afc13ae03cdfd5ac5
Phone,no,65046f7afc13ae03cdfd5ac6
Laptop,no,65046f7afc13ae03cdfd5ac7
Tablet,no,65046f7afc13ae03cdfd5ac8
Phone,no,65046f7afc13ae03cdfd5ac9
Laptop,no,65046f7afc13ae03cdfd5aca
Tablet,no,65046f7afc13ae03cdfd5acb
Phone,no,65046f7afc13ae03cdfd5acc
Laptop,no,65046f7afc13ae03cdfd5acd
Tablet,yes,65046f7afc13ae03cdfd5ace
Phone,no,65046f7afc13ae03cdfd5acf
Laptop,no,65046f7afc13ae03cdfd5ad0
Tablet,no,65046f7afc13ae03cdfd5ad1
Phone,no,65046f7afc13ae03cdfd5ad2
Laptop,no,65046f7afc13ae03cdfd5ad3
Tablet,no,65046f7afc13ae03cdfd5ad4
Phone,no,65046f7afc13ae03cdfd5ad5
Laptop,no,65046f7afc13ae03cdfd5ad6
Tablet,no,65046f7afc13ae03cdfd5ad7
Phone,no,65046f7afc13ae03cdfd5ad8
Laptop,no,65046f7afc13ae03cdfd5ad9
Tablet,no,65046f7afc13ae03cdfd5ada
Phone,no,65046f7afc13ae03cdfd5adb
Laptop,no,65046f7afc13ae03cdfd5adc
Tablet,no,65046f7afc13ae03cdfd5add
Phone,no,65046f7afc13ae03cdfd5ade
Laptop,no,65046f7afc13ae03cdfd5adf
Tablet,no,65046f7afc13ae03cdfd5ae0
Phone,no,65046f7afc13ae03cdfd5ae1
Laptop,no,65046f7afc13ae03cdfd5ae2
Tablet,no,65046f7afc13ae03cdfd5ae3
Phone,no,65046f7afc13ae03cdfd5ae4
Laptop,no,65046f7afc13ae03cdfd5ae5
Tablet,no,65046f7afc13ae03cdfd5ae6
Phone,no,65046f7afc13ae03cdfd5ae7
Laptop,no,65046f7afc13ae03cdfd5ae8
Tablet,no,65046f7afc13ae03cdfd5ae9
Phone,no,65046f7afc13ae03cdfd5aea
Laptop,no,65046f7afc13ae03cdfd5aeb
Tablet,no,65046f7afc13ae03cdfd5aec
Phone,no,65046f7afc13ae03cdfd5aed
Laptop,no,65046f7afc13ae03cdfd5aee
Tablet,no,65046f7afc13ae03cdfd5aef
Phone,no,65046f7afc13ae03cdfd5af0
Laptop,no,65046f7afc13ae03cdfd5af1
Tablet,no,65046f7afc13ae03cdfd5af2
Phone,no,65046f7afc13ae03cdfd5af3
Laptop,no,65046f7afc13ae03cdfd5af4
Tablet,no,65046f7afc13ae03cdfd5af5
Phone,no,65046f7afc13ae03cdfd5af6
Laptop,no,65046f7afc13ae03cdfd5af7
Tablet,no,65046f7afc13ae03cdfd5af8
Phone,no,65046f7afc13ae03cdfd5af9
Laptop,no,65046f7afc13ae03cdfd5afa
Tablet,no,65046f7afc13ae03cdfd5afb
Phone,no,65046f7afc13ae03cdfd5afc
Laptop,no,65046f7afc13ae03cdfd5afd
Tablet,no,65046f7afc13ae03cdfd5afe
