Product Type,Retailer name,Retailer product sold,Retailer shipping cost,Retailer shipping time,Retailer transport mode,Retailer routes ,Product ID,Retailer cost
Phone,Retailer 6,yes,0.91,4,UPS,Route 33,65046f7afc13ae03cdfd5a5a,590
Laptop,Retailer 6,yes,2.12,5,UPS,Route 32,65046f7afc13ae03cdfd5a5b,1100
Tablet,Retailer 3,yes,2.37,2,UPS,Route 34,65046f7afc13ae03cdfd5a5c,700
Phone,Retailer 1,yes,2.06,5,UPS,Route 34,65046f7afc13ae03cdfd5a5d,600
Laptop,Retailer 3,yes,1.74,5,UPS,Route 36,65046f7afc13ae03cdfd5a5e,1200
Tablet,Retailer 4,yes,0.57,5,UPS,Route 31,65046f7afc13ae03cdfd5a5f,1000
Phone,Retailer 4,yes,1.74,3,UPS,Route 31,65046f7afc13ae03cdfd5a60,700
Laptop,Retailer 4,yes,0.79,5,UPS,Route 31,65046f7afc13ae03cdfd5a61,1400
Tablet,Retailer 3,yes,1.04,4,UPS,Route 32,65046f7afc13ae03cdfd5a62,700
Phone,Retailer 4,yes,1.36,1,FedX,Route 36,65046f7afc13ae03cdfd5a63,700
Laptop,Retailer 4,yes,2.81,2,FedX,Route 33,65046f7afc13ae03cdfd5a64,1400
Tablet,Retailer 6,yes,1.41,2,FedX,Route 33,65046f7afc13ae03cdfd5a65,820
Phone,Retailer 3,yes,0.57,5,FedX,Route 31,65046f7afc13ae03cdfd5a66,650
Laptop,Retailer 1,yes,2.57,2,FedX,Route 36,65046f7afc13ae03cdfd5a67,1070
Tablet,Retailer 3,yes,1.37,3,UPS,Route 34,65046f7afc13ae03cdfd5a68,700
Phone,Retailer 2,yes,0.21,3,FedX,Route 31,65046f7afc13ae03cdfd5a69,620
Laptop,Retailer 2,yes,1.46,2,FedX,Route 32,65046f7afc13ae03cdfd5a6a,1000
Tablet,Retailer 2,yes,2.31,3,FedX,Route 35,65046f7afc13ae03cdfd5a6b,800
Phone,Retailer 4,yes,1.93,1,FedX,Route 34,65046f7afc13ae03cdfd5a6c,700
Laptop,Retailer 6,yes,0.58,3,UPS,Route 32,65046f7afc13ae03cdfd5a6d,1100
Tablet,Retailer 5,yes,2.04,1,UPS,Route 33,65046f7afc13ae03cdfd5a6e,650
Phone,Retailer 6,yes,0.13,2,UPS,Route 33,65046f7afc13ae03cdfd5a6f,590
Laptop,Retailer 3,yes,0.07,3,FedX,Route 33,65046f7afc13ae03cdfd5a70,1200
Tablet,Retailer 2,yes,2.95,3,UPS,Route 34,65046f7afc13ae03cdfd5a71,800
Phone,Retailer 5,yes,1.37,4,FedX,Route 32,65046f7afc13ae03cdfd5a72,600
Laptop,Retailer 6,yes,0.91,2,UPS,Route 35,65046f7afc13ae03cdfd5a73,1100
