Product Type,Distributor name,Distributor shipping cost,Distributor shipping time,Distributor transport mode,Distributor routes ,Distributor destinations,Product ID,Distributor cost
Phone,Distributor 2,7.41,5,air,Route 21,Retailer 1,65046f7afc13ae03cdfd5a5a,190
Laptop,Distributor 3,8.24,2,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5a5b,500
Tablet,Distributor 4,6.99,1,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5a5c,220
Phone,Distributor 4,9.2,3,sea,Route 26,Retailer 1,65046f7afc13ae03cdfd5a5d,250
Laptop,Distributor 4,6.24,4,rail,Route 22,Retailer 1,65046f7afc13ae03cdfd5a5e,480
Tablet,Distributor 4,6.17,2,road,Route 21,Retailer 3,65046f7afc13ae03cdfd5a5f,220
Phone,Distributor 3,7.83,5,rail,Route 22,Retailer 2,65046f7afc13ae03cdfd5a60,300
Laptop,Distributor 3,7.69,4,rail,Route 21,Retailer 1,65046f7afc13ae03cdfd5a61,500
Tablet,Distributor 4,10.0,2,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5a62,220
Phone,Distributor 1,7.79,3,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5a63,200
Laptop,Distributor 2,4.32,2,sea,Route 26,Retailer 3,65046f7afc13ae03cdfd5a64,440
Tablet,Distributor 2,8.96,6,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5a65,170
Phone,Distributor 1,4.01,4,air,Route 21,Retailer 3,65046f7afc13ae03cdfd5a66,200
Laptop,Distributor 1,5.79,3,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5a67,540
Tablet,Distributor 2,5.76,2,air,Route 26,Retailer 5,65046f7afc13ae03cdfd5a68,170
Phone,Distributor 4,9.9,2,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5a69,250
Laptop,Distributor 1,6.29,6,road,Route 21,Retailer 2,65046f7afc13ae03cdfd5a6a,540
Tablet,Distributor 3,7.89,6,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5a6b,350
Phone,Distributor 2,9.81,1,air,Route 26,Retailer 4,65046f7afc13ae03cdfd5a6c,190
Laptop,Distributor 3,4.74,4,road,Route 22,Retailer 1,65046f7afc13ae03cdfd5a6d,500
Tablet,Distributor 2,3.31,1,road,Route 23,Retailer 2,65046f7afc13ae03cdfd5a6e,170
Phone,Distributor 3,8.9,2,road,Route 21,Retailer 2,65046f7afc13ae03cdfd5a6f,300
Laptop,Distributor 1,4.35,3,rail,Route 21,Retailer 6,65046f7afc13ae03cdfd5a70,540
Tablet,Distributor 1,4.09,3,road,Route 23,Retailer 3,65046f7afc13ae03cdfd5a71,200
Phone,Distributor 1,8.93,6,sea,Route 26,Retailer 4,65046f7afc13ae03cdfd5a72,200
Laptop,Distributor 1,6.22,3,air,Route 26,Retailer 1,65046f7afc13ae03cdfd5a73,540
Tablet,Distributor 2,9.53,1,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5a74,170
Phone,Distributor 2,5.1,3,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5a75,190
Laptop,Distributor 1,9.04,5,road,Route 22,Retailer 4,65046f7afc13ae03cdfd5a76,540
Tablet,Distributor 4,7.17,3,rail,Route 21,Retailer 4,65046f7afc13ae03cdfd5a77,220
Phone,Distributor 1,3.51,2,rail,Route 21,Retailer 3,65046f7afc13ae03cdfd5a78,200
Laptop,Distributor 4,3.61,2,road,Route 22,Retailer 4,65046f7afc13ae03cdfd5a79,480
Tablet,Distributor 2,5.49,5,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5a7a,170
Phone,Distributor 4,5.17,2,road,Route 24,Retailer 3,65046f7afc13ae03cdfd5a7b,250
Laptop,Distributor 1,6.44,1,air,Route 21,Retailer 2,65046f7afc13ae03cdfd5a7c,540
Tablet,Distributor 1,4.81,4,rail,Route 22,Retailer 4,65046f7afc13ae03cdfd5a7d,200
Phone,Distributor 4,6.57,3,road,Route 23,Retailer 5,65046f7afc13ae03cdfd5a7e,250
Laptop,Distributor 1,9.23,2,sea,Route 26,Retailer 5,65046f7afc13ae03cdfd5a7f,540
Tablet,Distributor 3,8.71,2,air,Route 21,Retailer 4,65046f7afc13ae03cdfd5a80,350
Phone,Distributor 4,5.33,3,road,Route 22,Retailer 3,65046f7afc13ae03cdfd5a81,250
