Product Type,Manufacturer name,Manufacturer shipping cost,Manufacturer shipping time,Manufacturer transport mode,Manufacturer routes ,Manufacturer destinations,Product ID,Manufacturer cost,Manufacturer defect rates
Phone,Manufacturer 1,5.58,3,road,Route 12,Distributor 3,65046f7afc13ae03cdfd5a5a,100,0.6
Laptop,Manufacturer 3,6.72,10,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5a5b,480,0.4
Tablet,Manufacturer 1,9.41,12,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5a5c,160,0.1
Phone,Manufacturer 3,9.72,7,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5a5d,133,0.4
Laptop,Manufacturer 3,4.57,7,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5a5e,480,0.4
Tablet,Manufacturer 2,8.33,2,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5a5f,170,1.0
Phone,Manufacturer 2,6.66,8,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5a60,120,0.3
Laptop,Manufacturer 3,6.91,7,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5a61,480,0.4
Tablet,Manufacturer 3,7.72,11,sea,Route 16,Distributor 2,65046f7afc13ae03cdfd5a62,165,0.5
Phone,Manufacturer 3,6.74,10,road,Route 11,Distributor 1,65046f7afc13ae03cdfd5a63,133,0.4
Laptop,Manufacturer 3,7.28,9,sea,Route 13,Distributor 4,65046f7afc13ae03cdfd5a64,480,0.4
Tablet,Manufacturer 3,6.98,9,air,Route 11,Distributor 3,65046f7afc13ae03cdfd5a65,165,0.5
Phone,Manufacturer 3,5.64,12,rail,Route 15,Distributor 4,65046f7afc13ae03cdfd5a66,133,0.4
Laptop,Manufacturer 1,8.88,11,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5a67,470,0.8
Tablet,Manufacturer 2,5.41,2,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5a68,170,1.0
Phone,Manufacturer 2,7.33,4,road,Route 11,Distributor 3,65046f7afc13ae03cdfd5a69,120,0.3
Laptop,Manufacturer 2,3.7,9,road,Route 11,Distributor 2,65046f7afc13ae03cdfd5a6a,400,0.1
Tablet,Manufacturer 1,7.79,4,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5a6b,160,0.1
Phone,Manufacturer 2,8.08,12,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5a6c,120,0.3
Laptop,Manufacturer 1,7.22,5,road,Route 15,Distributor 4,65046f7afc13ae03cdfd5a6d,470,0.8
Tablet,Manufacturer 1,3.32,11,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5a6e,160,0.1
Phone,Manufacturer 2,8.5,12,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5a6f,120,0.3
Laptop,Manufacturer 3,6.41,5,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5a70,480,0.4
Tablet,Manufacturer 3,6.66,12,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5a71,165,0.5
Phone,Manufacturer 3,8.72,4,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5a72,133,0.4
Laptop,Manufacturer 3,7.34,6,air,Route 16,Distributor 4,65046f7afc13ae03cdfd5a73,480,0.4
Tablet,Manufacturer 1,6.96,1,air,Route 16,Distributor 2,65046f7afc13ae03cdfd5a74,160,0.1
Phone,Manufacturer 3,7.77,10,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5a75,133,0.4
Laptop,Manufacturer 1,6.33,2,rail,Route 12,Distributor 3,65046f7afc13ae03cdfd5a76,470,0.8
Tablet,Manufacturer 1,8.37,12,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5a77,160,0.1
Phone,Manufacturer 2,7.77,4,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5a78,120,0.3
Laptop,Manufacturer 1,7.75,2,air,Route 11,Distributor 3,65046f7afc13ae03cdfd5a79,470,0.8
Tablet,Manufacturer 2,7.31,3,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5a7a,170,1.0
Phone,Manufacturer 3,7.24,8,rail,Route 11,Distributor 2,65046f7afc13ae03cdfd5a7b,133,0.4
Laptop,Manufacturer 3,5.18,5,road,Route 15,Distributor 2,65046f7afc13ae03cdfd5a7c,480,0.4
Tablet,Manufacturer 3,6.86,1,sea,Route 13,Distributor 1,65046f7afc13ae03cdfd5a7d,165,0.5
Phone,Manufacturer 1,4.93,7,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5a7e,100,0.6
Laptop,Manufacturer 3,7.39,8,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5a7f,480,0.4
Tablet,Manufacturer 1,5.95,7,rail,Route 12,Distributor 4,65046f7afc13ae03cdfd5a80,160,0.1
Phone,Manufacturer 3,3.8,3,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5a81,133,0.4
Laptop,Manufacturer 3,7.65,10,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5a82,480,0.4
Tablet,Manufacturer 3,7.88,1,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5a83,165,0.5
Phone,Manufacturer 1,8.94,11,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5a84,100,0.6
Laptop,Manufacturer 2,4.23,5,air,Route 11,Distributor 1,65046f7afc13ae03cdfd5a85,400,0.1
Tablet,Manufacturer 1,8.49,6,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5a86,160,0.1
Phone,Manufacturer 1,8.03,1,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5a87,100,0.6
Laptop,Manufacturer 2,8.45,11,sea,Route 16,Distributor 1,65046f7afc13ae03cdfd5a88,400,0.1
Tablet,Manufacturer 1,4.02,2,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5a89,160,0.1
Phone,Manufacturer 1,5.99,12,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5a8a,100,0.6
Laptop,Manufacturer 1,8.65,6,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5a8b,470,0.8
Tablet,Manufacturer 2,5.27,1,road,Route 11,Distributor 4,65046f7afc13ae03cdfd5a8c,170,1.0
Phone,Manufacturer 2,4.97,11,air,Route 12,Distributor 4,65046f7afc13ae03cdfd5a8d,120,0.3
Laptop,Manufacturer 3,6.98,8,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5a8e,480,0.4
Tablet,Manufacturer 2,7.13,8,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5a8f,170,1.0
Phone,Manufacturer 1,7.97,7,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5a90,100,0.6
Laptop,Manufacturer 2,4.15,2,rail,Route 11,Distributor 1,65046f7afc13ae03cdfd5a91,400,0.1
Tablet,Manufacturer 2,5.06,7,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5a92,170,1.0
Phone,Manufacturer 1,3.15,6,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5a93,100,0.6
Laptop,Manufacturer 3,8.7,6,sea,Route 14,Distributor 4,65046f7afc13ae03cdfd5a94,480,0.4
Tablet,Manufacturer 3,9.32,9,air,Route 13,Distributor 2,65046f7afc13ae03cdfd5a95,165,0.5
Phone,Manufacturer 2,7.13,3,sea,Route 16,Distributor 3,65046f7afc13ae03cdfd5a96,120,0.3
Laptop,Manufacturer 3,7.2,5,air,Route 11,Distributor 4,65046f7afc13ae03cdfd5a97,480,0.4
Tablet,Manufacturer 1,4.02,3,rail,Route 11,Distributor 3,65046f7afc13ae03cdfd5a98,160,0.1
Phone,Manufacturer 1,7.54,4,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5a99,100,0.6
Laptop,Manufacturer 2,9.12,9,sea,Route 14,Distributor 1,65046f7afc13ae03cdfd5a9a,400,0.1
Tablet,Manufacturer 2,3.02,7,rail,Route 12,Distributor 2,65046f7afc13ae03cdfd5a9b,170,1.0
Phone,Manufacturer 3,7.99,8,air,Route 16,Distributor 1,65046f7afc13ae03cdfd5a9c,133,0.4
Laptop,Manufacturer 2,7.22,7,sea,Route 14,Distributor 2,65046f7afc13ae03cdfd5a9d,400,0.1
Tablet,Manufacturer 3,3.18,11,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5a9e,165,0.5
Phone,Manufacturer 1,4.53,9,rail,Route 12,Distributor 1,65046f7afc13ae03cdfd5a9f,100,0.6
Laptop,Manufacturer 3,3.15,5,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5aa0,480,0.4
Tablet,Manufacturer 3,3.36,7,road,Route 12,Distributor 4,65046f7afc13ae03cdfd5aa1,165,0.5
Phone,Manufacturer 2,6.16,12,air,Route 13,Distributor 1,65046f7afc13ae03cdfd5aa2,120,0.3
Laptop,Manufacturer 2,9.08,9,sea,Route 16,Distributor 4,65046f7afc13ae03cdfd5aa3,400,0.1
Tablet,Manufacturer 1,3.03,5,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5aa4,160,0.1
Phone,Manufacturer 1,5.74,7,road,Route 15,Distributor 3,65046f7afc13ae03cdfd5aa5,100,0.6
Laptop,Manufacturer 3,6.78,2,road,Route 12,Distributor 1,65046f7afc13ae03cdfd5aa6,480,0.4
Tablet,Manufacturer 3,5.52,8,rail,Route 15,Distributor 2,65046f7afc13ae03cdfd5aa7,165,0.5
Phone,Manufacturer 2,9.44,6,road,Route 12,Distributor 2,65046f7afc13ae03cdfd5aa8,120,0.3
Laptop,Manufacturer 1,9.77,4,road,Route 12,Distributor 3,65046f7afc13ae03cdfd5aa9,470,0.8
