Supplier name,Supplier stock ,Supplier cost per item (in $),Supplier order quantity,Supplier shipping cost (in $),Supplier shipping time,Supplier transport mode,Supplier routes ,Supplier destinations,Product ID
supplier 4,125,25.17,46,137.19,22,sea,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5a5a
supplier 3,958,20.25,71,285.55,8,air,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5a5b
supplier 1,374,12.5,38,252.71,28,sea,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5a5c
supplier 1,552,7.75,193,204.92,6,road,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5a5d
supplier 4,705,7.68,139,291.39,29,air,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5a5e
supplier 4,16,23.97,90,135.5,18,road,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5a5f
supplier 2,703,9.4,3,156.19,19,air,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5a60
supplier 5,866,23.46,32,153.86,12,road,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5a61
supplier 2,85,28.38,78,92.26,14,sea,Route 3,Manufacturer 1,65046f7afc13ae03cdfd5a62
supplier 4,363,7.69,6,265.7,23,road,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a63
supplier 2,830,29.83,50,71.89,11,rail,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a64
supplier 2,396,21.92,171,227.15,5,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5a65
supplier 5,368,32.06,19,174.34,16,road,Route 5,Manufacturer 1,65046f7afc13ae03cdfd5a66
supplier 3,884,23.14,2,127.35,22,sea,Route 2,Manufacturer 2,65046f7afc13ae03cdfd5a67
supplier 1,169,9.03,73,97.0,2,sea,Route 6,Manufacturer 2,65046f7afc13ae03cdfd5a68
supplier 1,822,24.47,112,77.8,18,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5a69
supplier 2,86,27.16,108,192.32,26,sea,Route 4,Manufacturer 3,65046f7afc13ae03cdfd5a6a
supplier 3,236,34.76,101,283.7,29,sea,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5a6b
supplier 3,21,24.85,20,156.12,16,sea,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a6c
supplier 5,784,8.26,138,66.06,10,road,Route 2,Manufacturer 3,65046f7afc13ae03cdfd5a6d
supplier 3,309,11.47,199,299.07,3,air,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5a6e
supplier 2,856,14.29,153,225.01,14,sea,Route 4,Manufacturer 2,65046f7afc13ae03cdfd5a6f
supplier 1,261,5.13,15,282.81,13,sea,Route 3,Manufacturer 3,65046f7afc13ae03cdfd5a70
supplier 5,365,34.8,191,110.76,24,sea,Route 6,Manufacturer 1,65046f7afc13ae03cdfd5a71
supplier 4,923,5.39,129,243.02,24,rail,Route 1,Manufacturer 2,65046f7afc13ae03cdfd5a72
supplier 3,381,26.56,140,248.22,16,road,Route 1,Manufacturer 1,65046f7afc13ae03cdfd5a73
supplier 6,112,10.06,83,202.86,11,rail,Route 2,Manufacturer 1,65046f7afc13ae03cdfd5a74
supplier 3,566,12.13,123,163.47,11,sea,Route 3,Manufacturer 2,65046f7afc13ae03cdfd5a75
supplier 6,974,22.06,96,257.22,24,air,Route 1,Manufacturer 3,65046f7afc13ae03cdfd5a76
supplier 5,372,27.91,31,82.49,28,rail,Route 5,Manufacturer 3,65046f7afc13ae03cdfd5a77
